timestamp,ip,usuario,sucesso,localizacao,tentativas_intervalo,origem_confiavel,tipo
2026-01-14 15:23:59.329182,192.168.1.66,carlos,1,Brasil,1,1,normal
2026-01-14 15:25:59.329182,192.168.1.92,bob,1,EUA,2,1,normal
2026-01-14 15:26:59.329182,192.168.1.63,fernanda,1,Brasil,2,1,normal
2026-01-14 15:27:59.329182,192.168.1.61,bob,1,EUA,2,1,normal
2026-01-14 15:27:59.329182,192.168.1.8,alice,1,Portugal,3,1,normal
2026-01-14 15:28:59.329182,192.168.1.4,bob,1,Canadá,2,1,normal
2026-01-14 15:29:59.329182,192.168.1.49,diana,1,Portugal,2,1,normal
2026-01-14 15:29:59.329182,192.168.1.40,carlos,1,EUA,2,1,normal
2026-01-14 15:33:59.329182,192.168.1.50,diana,1,Portugal,3,1,normal
2026-01-14 15:33:59.329182,192.168.1.44,bob,1,Brasil,1,1,normal
2026-01-14 15:34:59.329182,192.168.1.45,diana,1,EUA,2,1,normal
2026-01-14 15:34:59.329182,192.168.1.86,diana,1,Portugal,2,1,normal
2026-01-14 15:36:59.329182,192.168.1.68,carlos,1,Portugal,3,1,normal
2026-01-14 15:37:59.329182,192.168.1.14,diana,1,Portugal,1,1,normal
2026-01-14 15:38:59.329182,192.168.1.54,fernanda,1,EUA,2,1,normal
2026-01-14 15:39:59.329182,192.168.1.84,bob,1,Brasil,2,1,normal
2026-01-14 15:40:59.329182,192.168.1.81,diana,1,EUA,2,1,normal
2026-01-14 15:42:59.329182,192.168.1.78,carlos,0,Canadá,2,1,normal
2026-01-14 15:42:59.329182,192.168.1.96,bob,1,Brasil,2,1,normal
2026-01-14 15:42:59.329182,192.168.1.41,bob,1,Brasil,2,1,normal
2026-01-14 15:44:59.329182,192.168.1.26,diana,1,Canadá,3,1,normal
2026-01-14 15:44:59.329182,192.168.1.42,alice,1,EUA,2,1,normal
2026-01-14 15:45:59.329182,192.168.1.44,diana,1,EUA,2,1,normal
2026-01-14 15:45:59.329182,192.168.1.76,fernanda,1,EUA,3,1,normal
2026-01-14 15:45:59.329182,192.168.1.91,carlos,1,EUA,1,1,normal
2026-01-14 15:46:59.329182,192.168.1.89,carlos,0,Canadá,1,1,normal
2026-01-14 15:47:59.329182,192.168.1.64,diana,1,EUA,3,1,normal
2026-01-14 15:49:59.329182,192.168.1.61,bob,1,Brasil,3,1,normal
2026-01-14 15:50:59.329182,192.168.1.48,carlos,0,Canadá,2,1,normal
2026-01-14 15:50:59.329182,192.168.1.72,alice,1,Brasil,1,1,normal
2026-01-14 15:53:59.329182,192.168.1.66,fernanda,0,Canadá,2,1,normal
2026-01-14 15:55:59.329182,192.168.1.82,alice,1,Canadá,1,1,normal
2026-01-14 15:55:59.329182,192.168.1.59,bob,1,Brasil,3,1,normal
2026-01-14 15:56:59.329182,192.168.1.2,carlos,1,Portugal,3,1,normal
2026-01-14 15:56:59.329182,192.168.1.71,eduardo,1,Canadá,2,1,normal
2026-01-14 15:57:59.329182,192.168.1.97,alice,1,Portugal,3,1,normal
2026-01-14 15:59:59.329182,192.168.1.61,bob,1,EUA,3,1,normal
2026-01-14 16:00:59.329182,192.168.1.68,eduardo,1,Brasil,1,1,normal
2026-01-14 16:00:59.329182,192.168.1.81,fernanda,1,EUA,2,1,normal
2026-01-14 16:02:59.329182,192.168.1.42,bob,1,Portugal,2,1,normal
2026-01-14 16:03:59.329182,192.168.1.95,eduardo,0,EUA,3,1,normal
2026-01-14 16:03:59.329182,192.168.1.21,eduardo,1,Brasil,2,1,normal
2026-01-14 16:03:59.329182,192.168.1.93,alice,0,Canadá,2,1,normal
2026-01-14 16:04:59.329182,192.168.1.92,eduardo,1,EUA,3,1,normal
2026-01-14 16:04:59.329182,192.168.1.68,fernanda,1,Canadá,3,1,normal
2026-01-14 16:04:59.329182,192.168.1.24,carlos,1,Canadá,2,1,normal
2026-01-14 16:04:59.329182,192.168.1.33,carlos,1,EUA,3,1,normal
2026-01-14 16:04:59.329182,192.168.1.9,diana,1,Brasil,2,1,normal
2026-01-14 16:05:59.329182,192.168.1.99,carlos,1,Portugal,3,1,normal
2026-01-14 16:06:59.329182,192.168.1.3,carlos,1,Brasil,1,1,normal
2026-01-14 16:09:59.329182,192.168.1.44,bob,1,Brasil,2,1,normal
2026-01-14 16:09:59.329182,192.168.1.95,carlos,1,EUA,1,1,normal
2026-01-14 16:09:59.329182,203.0.113.11,guest,0,Desconhecido,60,0,ataque_rapido
2026-01-14 16:09:59.829182,203.0.113.11,administrator,0,Tor Exit Node,60,0,ataque_rapido
2026-01-14 16:10:00.329182,203.0.113.11,root,0,Tor Exit Node,60,0,ataque_rapido
2026-01-14 16:10:00.829182,203.0.113.11,user,0,Proxy,60,0,ataque_rapido
2026-01-14 16:10:01.329182,203.0.113.11,root,0,VPN,60,0,ataque_rapido
2026-01-14 16:10:01.829182,203.0.113.11,administrator,0,Proxy,60,0,ataque_rapido
2026-01-14 16:10:02.329182,203.0.113.11,administrator,0,VPN,60,0,ataque_rapido
2026-01-14 16:10:02.829182,203.0.113.11,admin,0,VPN,60,0,ataque_rapido
2026-01-14 16:10:03.329182,203.0.113.11,admin,0,Proxy,60,0,ataque_rapido
2026-01-14 16:10:03.829182,203.0.113.11,guest,0,VPN,60,0,ataque_rapido
2026-01-14 16:10:04.329182,203.0.113.11,root,0,VPN,60,0,ataque_rapido
2026-01-14 16:10:04.829182,203.0.113.11,guest,0,Tor Exit Node,60,0,ataque_rapido
2026-01-14 16:10:05.329182,203.0.113.11,root,0,Desconhecido,60,0,ataque_rapido
2026-01-14 16:10:05.829182,203.0.113.11,root,0,Desconhecido,60,0,ataque_rapido
2026-01-14 16:10:06.329182,203.0.113.11,root,0,VPN,60,0,ataque_rapido
2026-01-14 16:10:06.829182,203.0.113.11,root,0,Desconhecido,60,0,ataque_rapido
2026-01-14 16:10:07.329182,203.0.113.11,user,0,Proxy,60,0,ataque_rapido
2026-01-14 16:10:07.829182,203.0.113.11,administrator,0,Tor Exit Node,60,0,ataque_rapido
2026-01-14 16:10:08.329182,203.0.113.11,administrator,0,Tor Exit Node,60,0,ataque_rapido
2026-01-14 16:10:08.829182,203.0.113.11,root,0,VPN,60,0,ataque_rapido
2026-01-14 16:10:09.329182,203.0.113.11,user,0,Desconhecido,60,0,ataque_rapido
2026-01-14 16:10:09.829182,203.0.113.11,guest,0,Tor Exit Node,60,0,ataque_rapido
2026-01-14 16:10:10.329182,203.0.113.11,user,0,Desconhecido,60,0,ataque_rapido
2026-01-14 16:10:10.829182,203.0.113.11,admin,0,VPN,60,0,ataque_rapido
2026-01-14 16:10:11.329182,203.0.113.11,user,0,Proxy,60,0,ataque_rapido
2026-01-14 16:10:11.829182,203.0.113.11,administrator,0,VPN,60,0,ataque_rapido
2026-01-14 16:10:12.329182,203.0.113.11,admin,0,Proxy,60,0,ataque_rapido
2026-01-14 16:10:12.829182,203.0.113.11,user,0,Tor Exit Node,60,0,ataque_rapido
2026-01-14 16:10:13.329182,203.0.113.11,admin,0,VPN,60,0,ataque_rapido
2026-01-14 16:10:13.829182,203.0.113.11,administrator,0,VPN,60,0,ataque_rapido
2026-01-14 16:10:14.329182,203.0.113.11,guest,0,VPN,60,0,ataque_rapido
2026-01-14 16:10:14.829182,203.0.113.11,user,0,Desconhecido,60,0,ataque_rapido
2026-01-14 16:10:15.329182,203.0.113.11,user,0,Tor Exit Node,60,0,ataque_rapido
2026-01-14 16:10:15.829182,203.0.113.11,user,0,Desconhecido,60,0,ataque_rapido
2026-01-14 16:10:16.329182,203.0.113.11,user,0,VPN,60,0,ataque_rapido
2026-01-14 16:10:16.829182,203.0.113.11,user,0,Tor Exit Node,60,0,ataque_rapido
2026-01-14 16:10:17.329182,203.0.113.11,user,0,Desconhecido,60,0,ataque_rapido
2026-01-14 16:10:17.829182,203.0.113.11,administrator,0,Desconhecido,60,0,ataque_rapido
2026-01-14 16:10:18.329182,203.0.113.11,administrator,0,VPN,60,0,ataque_rapido
2026-01-14 16:10:18.829182,203.0.113.11,admin,0,Desconhecido,60,0,ataque_rapido
2026-01-14 16:10:19.329182,203.0.113.11,administrator,0,VPN,60,0,ataque_rapido
2026-01-14 16:10:19.829182,203.0.113.11,user,0,Desconhecido,60,0,ataque_rapido
2026-01-14 16:10:20.329182,203.0.113.11,admin,0,VPN,60,0,ataque_rapido
2026-01-14 16:10:20.829182,203.0.113.11,admin,0,Desconhecido,60,0,ataque_rapido
2026-01-14 16:10:21.329182,203.0.113.11,user,0,Tor Exit Node,60,0,ataque_rapido
2026-01-14 16:10:21.829182,203.0.113.11,root,0,Proxy,60,0,ataque_rapido
2026-01-14 16:10:22.329182,203.0.113.11,administrator,0,Desconhecido,60,0,ataque_rapido
2026-01-14 16:10:22.829182,203.0.113.11,admin,0,Tor Exit Node,60,0,ataque_rapido
2026-01-14 16:10:23.329182,203.0.113.11,guest,0,Proxy,60,0,ataque_rapido
2026-01-14 16:10:23.829182,203.0.113.11,admin,0,Tor Exit Node,60,0,ataque_rapido
2026-01-14 16:10:24.329182,203.0.113.11,admin,0,Tor Exit Node,60,0,ataque_rapido
2026-01-14 16:10:24.829182,203.0.113.11,guest,0,VPN,60,0,ataque_rapido
2026-01-14 16:10:25.329182,203.0.113.11,administrator,0,Proxy,60,0,ataque_rapido
2026-01-14 16:10:25.829182,203.0.113.11,admin,0,Desconhecido,60,0,ataque_rapido
2026-01-14 16:10:26.329182,203.0.113.11,user,0,Desconhecido,60,0,ataque_rapido
2026-01-14 16:10:26.829182,203.0.113.11,admin,0,Proxy,60,0,ataque_rapido
2026-01-14 16:10:27.329182,203.0.113.11,admin,0,VPN,60,0,ataque_rapido
2026-01-14 16:10:27.829182,203.0.113.11,guest,0,VPN,60,0,ataque_rapido
2026-01-14 16:10:28.329182,203.0.113.11,root,0,VPN,60,0,ataque_rapido
2026-01-14 16:10:28.829182,203.0.113.11,root,0,VPN,60,0,ataque_rapido
2026-01-14 16:11:59.329182,192.168.1.31,eduardo,0,Brasil,2,1,normal
2026-01-14 16:12:59.329182,192.168.1.88,eduardo,1,Portugal,3,1,normal
2026-01-14 16:13:59.329182,192.168.1.89,alice,1,Brasil,1,1,normal
2026-01-14 16:13:59.329182,192.168.1.19,bob,1,Canadá,3,1,normal
2026-01-14 16:13:59.329182,192.168.1.25,carlos,1,Brasil,3,1,normal
2026-01-14 16:14:59.329182,192.168.1.74,fernanda,1,EUA,3,1,normal
2026-01-14 16:14:59.329182,192.168.1.45,alice,1,EUA,1,1,normal
2026-01-14 16:17:59.329182,192.168.1.10,fernanda,1,Portugal,1,1,normal
2026-01-14 16:17:59.329182,192.168.1.1,fernanda,0,Canadá,2,1,normal
2026-01-14 16:19:59.329182,192.168.1.88,eduardo,1,Portugal,2,1,normal
2026-01-14 16:22:59.329182,192.168.1.3,bob,1,EUA,2,1,normal
2026-01-14 16:24:59.329182,192.168.1.72,fernanda,1,Canadá,2,1,normal
2026-01-14 16:25:59.329182,192.168.1.98,diana,1,Canadá,2,1,normal
2026-01-14 16:26:59.329182,192.168.1.89,alice,1,Brasil,2,1,normal
2026-01-14 16:27:59.329182,192.168.1.78,diana,1,Canadá,2,1,normal
2026-01-14 16:27:59.329182,192.168.1.89,alice,1,Brasil,3,1,normal
2026-01-14 16:27:59.329182,192.168.1.86,bob,1,Portugal,3,1,normal
2026-01-14 16:32:59.329182,192.168.1.9,diana,1,Portugal,1,1,normal
2026-01-14 16:34:59.329182,192.168.1.95,carlos,1,EUA,3,1,normal
2026-01-14 16:36:59.329182,192.168.1.59,carlos,1,Canadá,1,1,normal
2026-01-14 16:39:59.329182,192.168.1.37,fernanda,1,Canadá,2,1,normal
2026-01-14 16:41:59.329182,192.168.1.48,diana,0,Brasil,3,1,normal
2026-01-14 16:41:59.329182,192.168.1.98,eduardo,0,Canadá,2,1,normal
2026-01-14 16:42:59.329182,192.168.1.23,eduardo,1,Canadá,2,1,normal
2026-01-14 16:42:59.329182,192.168.1.74,carlos,1,Brasil,2,1,normal
2026-01-14 16:43:59.329182,192.168.1.84,bob,1,Portugal,2,1,normal
2026-01-14 16:43:59.329182,192.168.1.35,carlos,1,EUA,2,1,normal
2026-01-14 16:43:59.329182,192.168.1.5,bob,1,Brasil,2,1,normal
2026-01-14 16:45:59.329182,192.168.1.92,alice,1,Canadá,3,1,normal
2026-01-14 16:46:59.329182,192.168.1.72,fernanda,1,Brasil,3,1,normal
2026-01-14 16:47:59.329182,192.168.1.61,diana,0,EUA,3,1,normal
2026-01-14 16:49:59.329182,192.168.1.16,alice,1,EUA,3,1,normal
2026-01-14 16:49:59.329182,192.168.1.74,eduardo,1,Brasil,2,1,normal
2026-01-14 16:49:59.329182,192.168.1.81,carlos,1,Canadá,1,1,normal
2026-01-14 16:51:59.329182,192.168.1.49,diana,1,Brasil,2,1,normal
2026-01-14 16:51:59.329182,192.168.1.53,bob,1,Portugal,1,1,normal
2026-01-14 16:52:59.329182,192.168.1.10,carlos,1,Canadá,2,1,normal
2026-01-14 16:53:59.329182,192.168.1.81,fernanda,1,EUA,3,1,normal
2026-01-14 16:54:59.329182,192.168.1.19,diana,1,Canadá,3,1,normal
2026-01-14 16:54:59.329182,192.168.1.74,diana,1,Portugal,3,1,normal
2026-01-14 16:54:59.329182,192.168.1.39,eduardo,1,Brasil,2,1,normal
2026-01-14 16:54:59.329182,192.168.1.39,fernanda,1,Canadá,3,1,normal
2026-01-14 16:59:59.329182,192.168.1.1,carlos,0,Canadá,3,1,normal
2026-01-14 17:00:59.329182,192.168.1.76,eduardo,1,Canadá,2,1,normal
2026-01-14 17:00:59.329182,192.168.1.66,bob,1,Canadá,3,1,normal
2026-01-14 17:02:59.329182,192.168.1.99,bob,1,Portugal,2,1,normal
2026-01-14 17:02:59.329182,192.168.1.70,bob,1,Brasil,1,1,normal
2026-01-14 17:05:59.329182,192.168.1.90,carlos,1,Canadá,3,1,normal
2026-01-14 17:07:59.329182,192.168.1.94,carlos,1,EUA,3,1,normal
2026-01-14 17:07:59.329182,192.168.1.30,alice,1,Canadá,1,1,normal
2026-01-14 17:08:59.329182,203.0.113.11,root,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:08:59.829182,203.0.113.11,guest,0,Proxy,108,0,ataque_rapido
2026-01-14 17:09:00.329182,203.0.113.11,admin,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:00.829182,203.0.113.11,user,0,Desconhecido,108,0,ataque_rapido
2026-01-14 17:09:01.329182,203.0.113.11,admin,0,VPN,108,0,ataque_rapido
2026-01-14 17:09:01.829182,203.0.113.11,root,0,Desconhecido,108,0,ataque_rapido
2026-01-14 17:09:02.329182,203.0.113.11,user,0,Desconhecido,108,0,ataque_rapido
2026-01-14 17:09:02.829182,203.0.113.11,admin,0,VPN,108,0,ataque_rapido
2026-01-14 17:09:03.329182,203.0.113.11,admin,0,Desconhecido,108,0,ataque_rapido
2026-01-14 17:09:03.829182,203.0.113.11,user,0,Proxy,108,0,ataque_rapido
2026-01-14 17:09:04.329182,203.0.113.11,user,0,Proxy,108,0,ataque_rapido
2026-01-14 17:09:04.829182,203.0.113.11,administrator,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:05.329182,203.0.113.11,root,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:05.829182,203.0.113.11,guest,0,Proxy,108,0,ataque_rapido
2026-01-14 17:09:06.329182,203.0.113.11,root,0,Proxy,108,0,ataque_rapido
2026-01-14 17:09:06.829182,203.0.113.11,user,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:07.329182,203.0.113.11,user,0,VPN,108,0,ataque_rapido
2026-01-14 17:09:07.829182,203.0.113.11,root,0,Desconhecido,108,0,ataque_rapido
2026-01-14 17:09:08.329182,203.0.113.11,user,0,VPN,108,0,ataque_rapido
2026-01-14 17:09:08.829182,203.0.113.11,user,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:09.329182,203.0.113.11,root,0,Desconhecido,108,0,ataque_rapido
2026-01-14 17:09:09.829182,203.0.113.11,administrator,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:10.329182,203.0.113.11,user,0,Desconhecido,108,0,ataque_rapido
2026-01-14 17:09:10.829182,203.0.113.11,user,0,VPN,108,0,ataque_rapido
2026-01-14 17:09:11.329182,203.0.113.11,root,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:11.829182,203.0.113.11,guest,0,Desconhecido,108,0,ataque_rapido
2026-01-14 17:09:12.329182,203.0.113.11,guest,0,Proxy,108,0,ataque_rapido
2026-01-14 17:09:12.829182,203.0.113.11,guest,0,Desconhecido,108,0,ataque_rapido
2026-01-14 17:09:13.329182,203.0.113.11,guest,0,Desconhecido,108,0,ataque_rapido
2026-01-14 17:09:13.829182,203.0.113.11,guest,0,Desconhecido,108,0,ataque_rapido
2026-01-14 17:09:14.329182,203.0.113.11,guest,0,Desconhecido,108,0,ataque_rapido
2026-01-14 17:09:14.829182,203.0.113.11,user,0,VPN,108,0,ataque_rapido
2026-01-14 17:09:15.329182,203.0.113.11,administrator,0,VPN,108,0,ataque_rapido
2026-01-14 17:09:15.829182,203.0.113.11,root,0,Proxy,108,0,ataque_rapido
2026-01-14 17:09:16.329182,203.0.113.11,administrator,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:16.829182,203.0.113.11,user,0,Desconhecido,108,0,ataque_rapido
2026-01-14 17:09:17.329182,203.0.113.11,admin,0,VPN,108,0,ataque_rapido
2026-01-14 17:09:17.829182,203.0.113.11,admin,0,Desconhecido,108,0,ataque_rapido
2026-01-14 17:09:18.329182,203.0.113.11,root,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:18.829182,203.0.113.11,root,0,Proxy,108,0,ataque_rapido
2026-01-14 17:09:19.329182,203.0.113.11,root,0,Proxy,108,0,ataque_rapido
2026-01-14 17:09:19.829182,203.0.113.11,administrator,0,Desconhecido,108,0,ataque_rapido
2026-01-14 17:09:20.329182,203.0.113.11,admin,0,Proxy,108,0,ataque_rapido
2026-01-14 17:09:20.829182,203.0.113.11,guest,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:21.329182,203.0.113.11,user,0,Proxy,108,0,ataque_rapido
2026-01-14 17:09:21.829182,203.0.113.11,admin,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:22.329182,203.0.113.11,guest,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:22.829182,203.0.113.11,admin,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:23.329182,203.0.113.11,user,0,VPN,108,0,ataque_rapido
2026-01-14 17:09:23.829182,203.0.113.11,guest,0,Desconhecido,108,0,ataque_rapido
2026-01-14 17:09:24.329182,203.0.113.11,root,0,Proxy,108,0,ataque_rapido
2026-01-14 17:09:24.829182,203.0.113.11,administrator,0,Proxy,108,0,ataque_rapido
2026-01-14 17:09:25.329182,203.0.113.11,admin,0,Proxy,108,0,ataque_rapido
2026-01-14 17:09:25.829182,203.0.113.11,guest,0,Proxy,108,0,ataque_rapido
2026-01-14 17:09:26.329182,203.0.113.11,root,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:26.829182,203.0.113.11,admin,0,Desconhecido,108,0,ataque_rapido
2026-01-14 17:09:27.329182,203.0.113.11,admin,0,Desconhecido,108,0,ataque_rapido
2026-01-14 17:09:27.829182,203.0.113.11,admin,0,VPN,108,0,ataque_rapido
2026-01-14 17:09:28.329182,203.0.113.11,administrator,0,VPN,108,0,ataque_rapido
2026-01-14 17:09:28.829182,203.0.113.11,admin,0,VPN,108,0,ataque_rapido
2026-01-14 17:09:29.329182,203.0.113.11,user,0,VPN,108,0,ataque_rapido
2026-01-14 17:09:29.829182,203.0.113.11,administrator,0,Proxy,108,0,ataque_rapido
2026-01-14 17:09:30.329182,203.0.113.11,admin,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:30.829182,203.0.113.11,guest,0,Desconhecido,108,0,ataque_rapido
2026-01-14 17:09:31.329182,203.0.113.11,user,0,Desconhecido,108,0,ataque_rapido
2026-01-14 17:09:31.829182,203.0.113.11,user,0,VPN,108,0,ataque_rapido
2026-01-14 17:09:32.329182,203.0.113.11,user,0,VPN,108,0,ataque_rapido
2026-01-14 17:09:32.829182,203.0.113.11,guest,0,Desconhecido,108,0,ataque_rapido
2026-01-14 17:09:33.329182,203.0.113.11,user,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:33.829182,203.0.113.11,root,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:34.329182,203.0.113.11,guest,0,VPN,108,0,ataque_rapido
2026-01-14 17:09:34.829182,203.0.113.11,root,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:35.329182,203.0.113.11,user,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:35.829182,203.0.113.11,user,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:36.329182,203.0.113.11,root,0,Desconhecido,108,0,ataque_rapido
2026-01-14 17:09:36.829182,203.0.113.11,administrator,0,Proxy,108,0,ataque_rapido
2026-01-14 17:09:37.329182,203.0.113.11,user,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:37.829182,203.0.113.11,admin,0,Proxy,108,0,ataque_rapido
2026-01-14 17:09:38.329182,203.0.113.11,root,0,Proxy,108,0,ataque_rapido
2026-01-14 17:09:38.829182,203.0.113.11,user,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:39.329182,203.0.113.11,admin,0,VPN,108,0,ataque_rapido
2026-01-14 17:09:39.829182,203.0.113.11,guest,0,VPN,108,0,ataque_rapido
2026-01-14 17:09:40.329182,203.0.113.11,root,0,Desconhecido,108,0,ataque_rapido
2026-01-14 17:09:40.829182,203.0.113.11,guest,0,Proxy,108,0,ataque_rapido
2026-01-14 17:09:41.329182,203.0.113.11,root,0,VPN,108,0,ataque_rapido
2026-01-14 17:09:41.829182,203.0.113.11,root,0,VPN,108,0,ataque_rapido
2026-01-14 17:09:42.329182,203.0.113.11,user,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:42.829182,203.0.113.11,guest,0,VPN,108,0,ataque_rapido
2026-01-14 17:09:43.329182,203.0.113.11,guest,0,Proxy,108,0,ataque_rapido
2026-01-14 17:09:43.829182,203.0.113.11,administrator,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:44.329182,203.0.113.11,root,0,VPN,108,0,ataque_rapido
2026-01-14 17:09:44.829182,203.0.113.11,root,0,VPN,108,0,ataque_rapido
2026-01-14 17:09:45.329182,203.0.113.11,guest,0,Desconhecido,108,0,ataque_rapido
2026-01-14 17:09:45.829182,203.0.113.11,guest,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:46.329182,203.0.113.11,administrator,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:46.829182,203.0.113.11,user,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:47.329182,203.0.113.11,user,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:47.829182,203.0.113.11,administrator,0,VPN,108,0,ataque_rapido
2026-01-14 17:09:48.329182,203.0.113.11,administrator,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:48.829182,203.0.113.11,admin,0,VPN,108,0,ataque_rapido
2026-01-14 17:09:49.329182,203.0.113.11,admin,0,Desconhecido,108,0,ataque_rapido
2026-01-14 17:09:49.829182,203.0.113.11,administrator,0,VPN,108,0,ataque_rapido
2026-01-14 17:09:50.329182,203.0.113.11,administrator,0,Proxy,108,0,ataque_rapido
2026-01-14 17:09:50.829182,203.0.113.11,admin,0,Desconhecido,108,0,ataque_rapido
2026-01-14 17:09:51.329182,203.0.113.11,guest,0,Tor Exit Node,108,0,ataque_rapido
2026-01-14 17:09:51.829182,203.0.113.11,user,0,Proxy,108,0,ataque_rapido
2026-01-14 17:09:52.329182,203.0.113.11,root,0,Proxy,108,0,ataque_rapido
2026-01-14 17:09:52.829182,203.0.113.11,user,0,VPN,108,0,ataque_rapido
2026-01-14 17:12:59.329182,192.168.1.24,diana,1,Portugal,3,1,normal
2026-01-14 17:12:59.329182,192.168.1.39,fernanda,1,Portugal,2,1,normal
2026-01-14 17:12:59.329182,192.168.1.29,carlos,1,EUA,1,1,normal
2026-01-14 17:13:59.329182,192.168.1.92,carlos,1,Brasil,3,1,normal
2026-01-14 17:16:59.329182,192.168.1.42,bob,1,Brasil,3,1,normal
2026-01-14 17:16:59.329182,192.168.1.74,fernanda,1,Portugal,1,1,normal
2026-01-14 17:17:59.329182,192.168.1.15,fernanda,1,Portugal,3,1,normal
2026-01-14 17:17:59.329182,192.168.1.41,bob,1,EUA,2,1,normal
2026-01-14 17:17:59.329182,192.168.1.59,alice,1,EUA,3,1,normal
2026-01-14 17:18:59.329182,192.168.1.4,eduardo,1,Brasil,2,1,normal
2026-01-14 17:20:59.329182,192.168.1.98,diana,1,Portugal,3,1,normal
2026-01-14 17:21:59.329182,192.168.1.40,diana,1,Canadá,2,1,normal
2026-01-14 17:22:59.329182,192.168.1.36,alice,1,EUA,2,1,normal
2026-01-14 17:25:59.329182,192.168.1.59,eduardo,0,Brasil,1,1,normal
2026-01-14 17:26:59.329182,192.168.1.50,carlos,1,EUA,3,1,normal
2026-01-14 17:27:59.329182,192.168.1.90,bob,1,Canadá,3,1,normal
